texto,ansiedad,depresion
Hoy fue un buen día,0,0
Me siento vacío y sin energía,0,1
Me preocupo demasiado y además me siento muy triste,1,1
Me siento relajado y contento,0,0
No quiero salir de la cama en todo el día,0,1
Siento que nada tiene sentido,0,1
Hoy fue un buen día,0,0
Me preocupo demasiado y además me siento muy triste,1,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Dormí bien y tengo energía,0,0
He perdido el interés en las cosas que me gustaban,0,1
Hoy fue un buen día,0,0
Siento que nada tiene sentido,0,1
Dormí bien y tengo energía,0,0
Sudo mucho y me tiemblan las manos,1,0
Tengo miedo constante sin motivo,1,0
Estoy motivado y feliz con mis estudios,0,0
Estoy nervioso y a la vez sin motivación para nada,1,1
Estoy motivado y feliz con mis estudios,0,0
No puedo dejar de llorar y siento ansiedad,1,1
Me preocupo demasiado y además me siento muy triste,1,1
He perdido el interés en las cosas que me gustaban,0,1
No quiero salir de la cama en todo el día,0,1
Me cuesta respirar cuando estoy en clase,1,0
No quiero salir de la cama en todo el día,0,1
Me invade la tristeza y los nervios,1,1
No quiero salir de la cama en todo el día,0,1
Me siento muy triste y no tengo ganas de nada,0,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Me invade la tristeza y los nervios,1,1
Sudo mucho y me tiemblan las manos,1,0
Siento miedo y desesperanza al mismo tiempo,1,1
Me siento vacío y sin energía,0,1
Estoy motivado y feliz con mis estudios,0,0
No quiero salir de la cama en todo el día,0,1
No puedo dejar de llorar y siento ansiedad,1,1
Tengo miedo constante sin motivo,1,0
Me siento vacío y sin energía,0,1
Me siento relajado y contento,0,0
Me siento muy triste y no tengo ganas de nada,0,1
Dormí bien y tengo energía,0,0
He perdido el interés en las cosas que me gustaban,0,1
Siento miedo y desesperanza al mismo tiempo,1,1
He perdido el interés en las cosas que me gustaban,0,1
Me cuesta respirar cuando estoy en clase,1,0
Me preocupo demasiado y además me siento muy triste,1,1
Me siento vacío y sin energía,0,1
Me invade la tristeza y los nervios,1,1
Me siento vacío y sin energía,0,1
Dormí bien y tengo energía,0,0
No puedo dejar de preocuparme por todo,1,0
Me preocupo demasiado y además me siento muy triste,1,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Estoy nervioso y a la vez sin motivación para nada,1,1
No puedo dejar de llorar y siento ansiedad,1,1
Dormí bien y tengo energía,0,0
Me invade la tristeza y los nervios,1,1
Estoy nervioso y a la vez sin motivación para nada,1,1
No puedo dejar de llorar y siento ansiedad,1,1
Siento miedo y desesperanza al mismo tiempo,1,1
Siento el corazón acelerado y no sé por qué,1,0
Tengo miedo constante sin motivo,1,0
Dormí bien y tengo energía,0,0
Me invade la tristeza y los nervios,1,1
He perdido el interés en las cosas que me gustaban,0,1
Me siento vacío y sin energía,0,1
Siento que nada tiene sentido,0,1
Me preocupo demasiado y además me siento muy triste,1,1
No quiero salir de la cama en todo el día,0,1
Siento que nada tiene sentido,0,1
Tengo miedo constante sin motivo,1,0
Estoy motivado y feliz con mis estudios,0,0
Estoy motivado y feliz con mis estudios,0,0
Sudo mucho y me tiemblan las manos,1,0
No puedo dejar de llorar y siento ansiedad,1,1
Estoy motivado y feliz con mis estudios,0,0
Me siento vacío y sin energía,0,1
Siento el corazón acelerado y no sé por qué,1,0
No quiero salir de la cama en todo el día,0,1
Dormí bien y tengo energía,0,0
Me invade la tristeza y los nervios,1,1
No puedo dejar de preocuparme por todo,1,0
Me siento vacío y sin energía,0,1
Tengo miedo constante sin motivo,1,0
No quiero salir de la cama en todo el día,0,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Me siento relajado y contento,0,0
Estoy nervioso y a la vez sin motivación para nada,1,1
Tengo miedo constante sin motivo,1,0
Estoy nervioso y a la vez sin motivación para nada,1,1
No puedo dejar de llorar y siento ansiedad,1,1
Me siento relajado y contento,0,0
Me siento muy triste y no tengo ganas de nada,0,1
He perdido el interés en las cosas que me gustaban,0,1
Me siento vacío y sin energía,0,1
He perdido el interés en las cosas que me gustaban,0,1
Me siento tranquilo y en paz,0,0
Estoy motivado y feliz con mis estudios,0,0
Hoy fue un buen día,0,0
Sudo mucho y me tiemblan las manos,1,0
Me siento vacío y sin energía,0,1
Me siento vacío y sin energía,0,1
He perdido el interés en las cosas que me gustaban,0,1
Me siento relajado y contento,0,0
Me preocupo demasiado y además me siento muy triste,1,1
He perdido el interés en las cosas que me gustaban,0,1
Me invade la tristeza y los nervios,1,1
Me preocupo demasiado y además me siento muy triste,1,1
Siento el corazón acelerado y no sé por qué,1,0
Sudo mucho y me tiemblan las manos,1,0
Me siento vacío y sin energía,0,1
Siento que nada tiene sentido,0,1
Siento que nada tiene sentido,0,1
Hoy fue un buen día,0,0
No quiero salir de la cama en todo el día,0,1
Tengo miedo constante sin motivo,1,0
Estoy motivado y feliz con mis estudios,0,0
Siento el corazón acelerado y no sé por qué,1,0
Sudo mucho y me tiemblan las manos,1,0
Sudo mucho y me tiemblan las manos,1,0
Me siento muy triste y no tengo ganas de nada,0,1
Siento que nada tiene sentido,0,1
Siento el corazón acelerado y no sé por qué,1,0
No puedo dejar de preocuparme por todo,1,0
Estoy motivado y feliz con mis estudios,0,0
Me invade la tristeza y los nervios,1,1
Estoy motivado y feliz con mis estudios,0,0
Dormí bien y tengo energía,0,0
Hoy fue un buen día,0,0
No puedo dejar de preocuparme por todo,1,0
Me siento muy triste y no tengo ganas de nada,0,1
Me cuesta respirar cuando estoy en clase,1,0
Siento que nada tiene sentido,0,1
Estoy nervioso y a la vez sin motivación para nada,1,1
He perdido el interés en las cosas que me gustaban,0,1
Me cuesta respirar cuando estoy en clase,1,0
Me cuesta respirar cuando estoy en clase,1,0
Me siento muy triste y no tengo ganas de nada,0,1
Me cuesta respirar cuando estoy en clase,1,0
No puedo dejar de llorar y siento ansiedad,1,1
Sudo mucho y me tiemblan las manos,1,0
Sudo mucho y me tiemblan las manos,1,0
Siento el corazón acelerado y no sé por qué,1,0
Sudo mucho y me tiemblan las manos,1,0
Siento miedo y desesperanza al mismo tiempo,1,1
Me cuesta respirar cuando estoy en clase,1,0
No quiero salir de la cama en todo el día,0,1
Siento el corazón acelerado y no sé por qué,1,0
No puedo dejar de llorar y siento ansiedad,1,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Siento miedo y desesperanza al mismo tiempo,1,1
Me invade la tristeza y los nervios,1,1
Me siento vacío y sin energía,0,1
Me siento vacío y sin energía,0,1
Me siento vacío y sin energía,0,1
Me siento muy triste y no tengo ganas de nada,0,1
No puedo dejar de preocuparme por todo,1,0
Estoy motivado y feliz con mis estudios,0,0
Me siento relajado y contento,0,0
Me siento relajado y contento,0,0
He perdido el interés en las cosas que me gustaban,0,1
He perdido el interés en las cosas que me gustaban,0,1
No puedo dejar de preocuparme por todo,1,0
Me siento vacío y sin energía,0,1
Sudo mucho y me tiemblan las manos,1,0
No puedo dejar de llorar y siento ansiedad,1,1
No puedo dejar de llorar y siento ansiedad,1,1
No quiero salir de la cama en todo el día,0,1
No puedo dejar de preocuparme por todo,1,0
Siento el corazón acelerado y no sé por qué,1,0
Me invade la tristeza y los nervios,1,1
Me preocupo demasiado y además me siento muy triste,1,1
Me cuesta respirar cuando estoy en clase,1,0
Sudo mucho y me tiemblan las manos,1,0
Me siento tranquilo y en paz,0,0
Dormí bien y tengo energía,0,0
No puedo dejar de llorar y siento ansiedad,1,1
Estoy motivado y feliz con mis estudios,0,0
Hoy fue un buen día,0,0
Dormí bien y tengo energía,0,0
Dormí bien y tengo energía,0,0
Me siento muy triste y no tengo ganas de nada,0,1
Me invade la tristeza y los nervios,1,1
Estoy motivado y feliz con mis estudios,0,0
Dormí bien y tengo energía,0,0
Hoy fue un buen día,0,0
Me preocupo demasiado y además me siento muy triste,1,1
No puedo dejar de llorar y siento ansiedad,1,1
He perdido el interés en las cosas que me gustaban,0,1
Siento el corazón acelerado y no sé por qué,1,0
Sudo mucho y me tiemblan las manos,1,0
Estoy motivado y feliz con mis estudios,0,0
Me invade la tristeza y los nervios,1,1
Sudo mucho y me tiemblan las manos,1,0
No quiero salir de la cama en todo el día,0,1
Me preocupo demasiado y además me siento muy triste,1,1
Me siento vacío y sin energía,0,1
Dormí bien y tengo energía,0,0
He perdido el interés en las cosas que me gustaban,0,1
Estoy motivado y feliz con mis estudios,0,0
Me siento muy triste y no tengo ganas de nada,0,1
Tengo miedo constante sin motivo,1,0
No puedo dejar de llorar y siento ansiedad,1,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Me cuesta respirar cuando estoy en clase,1,0
Me siento muy triste y no tengo ganas de nada,0,1
No puedo dejar de preocuparme por todo,1,0
Sudo mucho y me tiemblan las manos,1,0
Me siento muy triste y no tengo ganas de nada,0,1
Dormí bien y tengo energía,0,0
No puedo dejar de preocuparme por todo,1,0
Estoy motivado y feliz con mis estudios,0,0
Siento el corazón acelerado y no sé por qué,1,0
He perdido el interés en las cosas que me gustaban,0,1
Estoy motivado y feliz con mis estudios,0,0
Tengo miedo constante sin motivo,1,0
Me cuesta respirar cuando estoy en clase,1,0
Me siento vacío y sin energía,0,1
Dormí bien y tengo energía,0,0
No quiero salir de la cama en todo el día,0,1
Me siento relajado y contento,0,0
Siento que nada tiene sentido,0,1
No puedo dejar de preocuparme por todo,1,0
No puedo dejar de preocuparme por todo,1,0
Tengo miedo constante sin motivo,1,0
No quiero salir de la cama en todo el día,0,1
Me siento tranquilo y en paz,0,0
Siento el corazón acelerado y no sé por qué,1,0
He perdido el interés en las cosas que me gustaban,0,1
Estoy motivado y feliz con mis estudios,0,0
Estoy motivado y feliz con mis estudios,0,0
Siento el corazón acelerado y no sé por qué,1,0
Tengo miedo constante sin motivo,1,0
Siento miedo y desesperanza al mismo tiempo,1,1
Siento que nada tiene sentido,0,1
Me preocupo demasiado y además me siento muy triste,1,1
Me siento vacío y sin energía,0,1
Me preocupo demasiado y además me siento muy triste,1,1
Me siento relajado y contento,0,0
No quiero salir de la cama en todo el día,0,1
He perdido el interés en las cosas que me gustaban,0,1
Me preocupo demasiado y además me siento muy triste,1,1
Siento el corazón acelerado y no sé por qué,1,0
Siento miedo y desesperanza al mismo tiempo,1,1
Sudo mucho y me tiemblan las manos,1,0
Me siento relajado y contento,0,0
He perdido el interés en las cosas que me gustaban,0,1
Estoy motivado y feliz con mis estudios,0,0
Siento el corazón acelerado y no sé por qué,1,0
Dormí bien y tengo energía,0,0
Me cuesta respirar cuando estoy en clase,1,0
Estoy motivado y feliz con mis estudios,0,0
Estoy motivado y feliz con mis estudios,0,0
Estoy nervioso y a la vez sin motivación para nada,1,1
Dormí bien y tengo energía,0,0
Siento que nada tiene sentido,0,1
No puedo dejar de llorar y siento ansiedad,1,1
Me siento muy triste y no tengo ganas de nada,0,1
Siento miedo y desesperanza al mismo tiempo,1,1
Me invade la tristeza y los nervios,1,1
No puedo dejar de preocuparme por todo,1,0
Me siento muy triste y no tengo ganas de nada,0,1
Me siento vacío y sin energía,0,1
Estoy motivado y feliz con mis estudios,0,0
No puedo dejar de llorar y siento ansiedad,1,1
Siento miedo y desesperanza al mismo tiempo,1,1
No puedo dejar de llorar y siento ansiedad,1,1
Me siento relajado y contento,0,0
No puedo dejar de llorar y siento ansiedad,1,1
Me preocupo demasiado y además me siento muy triste,1,1
He perdido el interés en las cosas que me gustaban,0,1
Tengo miedo constante sin motivo,1,0
Me siento vacío y sin energía,0,1
Me preocupo demasiado y además me siento muy triste,1,1
No quiero salir de la cama en todo el día,0,1
Me invade la tristeza y los nervios,1,1
Me cuesta respirar cuando estoy en clase,1,0
Estoy nervioso y a la vez sin motivación para nada,1,1
No puedo dejar de preocuparme por todo,1,0
Siento el corazón acelerado y no sé por qué,1,0
Me invade la tristeza y los nervios,1,1
Siento miedo y desesperanza al mismo tiempo,1,1
Me siento relajado y contento,0,0
Me preocupo demasiado y además me siento muy triste,1,1
Sudo mucho y me tiemblan las manos,1,0
No puedo dejar de llorar y siento ansiedad,1,1
No quiero salir de la cama en todo el día,0,1
Me cuesta respirar cuando estoy en clase,1,0
He perdido el interés en las cosas que me gustaban,0,1
No quiero salir de la cama en todo el día,0,1
No puedo dejar de preocuparme por todo,1,0
Estoy nervioso y a la vez sin motivación para nada,1,1
Dormí bien y tengo energía,0,0
Siento que nada tiene sentido,0,1
No quiero salir de la cama en todo el día,0,1
Estoy nervioso y a la vez sin motivación para nada,1,1
No quiero salir de la cama en todo el día,0,1
Siento miedo y desesperanza al mismo tiempo,1,1
Me siento vacío y sin energía,0,1
Siento el corazón acelerado y no sé por qué,1,0
Estoy nervioso y a la vez sin motivación para nada,1,1
Siento miedo y desesperanza al mismo tiempo,1,1
Me siento tranquilo y en paz,0,0
Estoy motivado y feliz con mis estudios,0,0
No quiero salir de la cama en todo el día,0,1
Me invade la tristeza y los nervios,1,1
Me cuesta respirar cuando estoy en clase,1,0
No puedo dejar de preocuparme por todo,1,0
Tengo miedo constante sin motivo,1,0
Siento el corazón acelerado y no sé por qué,1,0
Me cuesta respirar cuando estoy en clase,1,0
Me siento vacío y sin energía,0,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Estoy motivado y feliz con mis estudios,0,0
Me invade la tristeza y los nervios,1,1
No puedo dejar de preocuparme por todo,1,0
Me invade la tristeza y los nervios,1,1
No quiero salir de la cama en todo el día,0,1
Sudo mucho y me tiemblan las manos,1,0
No puedo dejar de llorar y siento ansiedad,1,1
Me invade la tristeza y los nervios,1,1
Estoy motivado y feliz con mis estudios,0,0
Siento miedo y desesperanza al mismo tiempo,1,1
Hoy fue un buen día,0,0
No puedo dejar de llorar y siento ansiedad,1,1
Me invade la tristeza y los nervios,1,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Siento que nada tiene sentido,0,1
Estoy nervioso y a la vez sin motivación para nada,1,1
He perdido el interés en las cosas que me gustaban,0,1
Me cuesta respirar cuando estoy en clase,1,0
Me invade la tristeza y los nervios,1,1
Me invade la tristeza y los nervios,1,1
No puedo dejar de llorar y siento ansiedad,1,1
He perdido el interés en las cosas que me gustaban,0,1
Siento el corazón acelerado y no sé por qué,1,0
Me cuesta respirar cuando estoy en clase,1,0
No quiero salir de la cama en todo el día,0,1
No puedo dejar de preocuparme por todo,1,0
Me cuesta respirar cuando estoy en clase,1,0
Siento el corazón acelerado y no sé por qué,1,0
Estoy motivado y feliz con mis estudios,0,0
No quiero salir de la cama en todo el día,0,1
Me siento muy triste y no tengo ganas de nada,0,1
Sudo mucho y me tiemblan las manos,1,0
Me siento vacío y sin energía,0,1
Me siento vacío y sin energía,0,1
Me siento relajado y contento,0,0
No quiero salir de la cama en todo el día,0,1
Siento miedo y desesperanza al mismo tiempo,1,1
No puedo dejar de llorar y siento ansiedad,1,1
Dormí bien y tengo energía,0,0
Estoy nervioso y a la vez sin motivación para nada,1,1
He perdido el interés en las cosas que me gustaban,0,1
Estoy motivado y feliz con mis estudios,0,0
No quiero salir de la cama en todo el día,0,1
Me siento tranquilo y en paz,0,0
Siento que nada tiene sentido,0,1
Siento que nada tiene sentido,0,1
Me cuesta respirar cuando estoy en clase,1,0
Siento que nada tiene sentido,0,1
No quiero salir de la cama en todo el día,0,1
No puedo dejar de preocuparme por todo,1,0
Me preocupo demasiado y además me siento muy triste,1,1
Me siento muy triste y no tengo ganas de nada,0,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Estoy motivado y feliz con mis estudios,0,0
Siento que nada tiene sentido,0,1
Me siento muy triste y no tengo ganas de nada,0,1
Siento miedo y desesperanza al mismo tiempo,1,1
Me preocupo demasiado y además me siento muy triste,1,1
Me preocupo demasiado y además me siento muy triste,1,1
He perdido el interés en las cosas que me gustaban,0,1
Sudo mucho y me tiemblan las manos,1,0
Me siento vacío y sin energía,0,1
Estoy motivado y feliz con mis estudios,0,0
Me siento muy triste y no tengo ganas de nada,0,1
Me invade la tristeza y los nervios,1,1
Dormí bien y tengo energía,0,0
Me invade la tristeza y los nervios,1,1
Me cuesta respirar cuando estoy en clase,1,0
Me preocupo demasiado y además me siento muy triste,1,1
Dormí bien y tengo energía,0,0
Estoy motivado y feliz con mis estudios,0,0
Me siento tranquilo y en paz,0,0
Siento miedo y desesperanza al mismo tiempo,1,1
He perdido el interés en las cosas que me gustaban,0,1
Me cuesta respirar cuando estoy en clase,1,0
Me siento tranquilo y en paz,0,0
No quiero salir de la cama en todo el día,0,1
Sudo mucho y me tiemblan las manos,1,0
He perdido el interés en las cosas que me gustaban,0,1
No puedo dejar de preocuparme por todo,1,0
No puedo dejar de preocuparme por todo,1,0
Me siento muy triste y no tengo ganas de nada,0,1
He perdido el interés en las cosas que me gustaban,0,1
Siento que nada tiene sentido,0,1
Me siento muy triste y no tengo ganas de nada,0,1
He perdido el interés en las cosas que me gustaban,0,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Me siento tranquilo y en paz,0,0
Hoy fue un buen día,0,0
Dormí bien y tengo energía,0,0
Me siento tranquilo y en paz,0,0
No puedo dejar de llorar y siento ansiedad,1,1
Dormí bien y tengo energía,0,0
No puedo dejar de preocuparme por todo,1,0
Estoy motivado y feliz con mis estudios,0,0
Me siento tranquilo y en paz,0,0
He perdido el interés en las cosas que me gustaban,0,1
Hoy fue un buen día,0,0
Me siento vacío y sin energía,0,1
Me siento muy triste y no tengo ganas de nada,0,1
Sudo mucho y me tiemblan las manos,1,0
Dormí bien y tengo energía,0,0
No puedo dejar de preocuparme por todo,1,0
Me siento tranquilo y en paz,0,0
Siento que nada tiene sentido,0,1
No puedo dejar de llorar y siento ansiedad,1,1
Siento que nada tiene sentido,0,1
Siento miedo y desesperanza al mismo tiempo,1,1
Tengo miedo constante sin motivo,1,0
Me preocupo demasiado y además me siento muy triste,1,1
Estoy nervioso y a la vez sin motivación para nada,1,1
Estoy motivado y feliz con mis estudios,0,0
Estoy motivado y feliz con mis estudios,0,0
Hoy fue un buen día,0,0
Dormí bien y tengo energía,0,0
He perdido el interés en las cosas que me gustaban,0,1
Hoy fue un buen día,0,0
Me siento muy triste y no tengo ganas de nada,0,1
Me siento muy triste y no tengo ganas de nada,0,1
No puedo dejar de llorar y siento ansiedad,1,1
Me siento vacío y sin energía,0,1
He perdido el interés en las cosas que me gustaban,0,1
Dormí bien y tengo energía,0,0
Me preocupo demasiado y además me siento muy triste,1,1
Sudo mucho y me tiemblan las manos,1,0
Hoy fue un buen día,0,0
Dormí bien y tengo energía,0,0
No puedo dejar de llorar y siento ansiedad,1,1
Me siento relajado y contento,0,0
No puedo dejar de preocuparme por todo,1,0
Tengo miedo constante sin motivo,1,0
Me siento muy triste y no tengo ganas de nada,0,1
Me siento tranquilo y en paz,0,0
Hoy fue un buen día,0,0
Siento el corazón acelerado y no sé por qué,1,0
Dormí bien y tengo energía,0,0
Estoy motivado y feliz con mis estudios,0,0
Siento el corazón acelerado y no sé por qué,1,0
Me siento tranquilo y en paz,0,0
Siento que nada tiene sentido,0,1
Siento miedo y desesperanza al mismo tiempo,1,1
Tengo miedo constante sin motivo,1,0
Siento miedo y desesperanza al mismo tiempo,1,1
Me siento relajado y contento,0,0
Tengo miedo constante sin motivo,1,0
No puedo dejar de preocuparme por todo,1,0
He perdido el interés en las cosas que me gustaban,0,1
Me invade la tristeza y los nervios,1,1
Me siento tranquilo y en paz,0,0
No puedo dejar de llorar y siento ansiedad,1,1
Me invade la tristeza y los nervios,1,1
Hoy fue un buen día,0,0
Estoy nervioso y a la vez sin motivación para nada,1,1
Me invade la tristeza y los nervios,1,1
Estoy motivado y feliz con mis estudios,0,0
Siento miedo y desesperanza al mismo tiempo,1,1
Hoy fue un buen día,0,0
Estoy motivado y feliz con mis estudios,0,0
Siento que nada tiene sentido,0,1
Me siento relajado y contento,0,0
Estoy nervioso y a la vez sin motivación para nada,1,1
Me siento muy triste y no tengo ganas de nada,0,1
Me siento muy triste y no tengo ganas de nada,0,1
Me invade la tristeza y los nervios,1,1
No quiero salir de la cama en todo el día,0,1
Me invade la tristeza y los nervios,1,1
No puedo dejar de preocuparme por todo,1,0
He perdido el interés en las cosas que me gustaban,0,1
Dormí bien y tengo energía,0,0
Me siento relajado y contento,0,0
Me siento tranquilo y en paz,0,0
Me siento tranquilo y en paz,0,0
Estoy motivado y feliz con mis estudios,0,0
Siento miedo y desesperanza al mismo tiempo,1,1
He perdido el interés en las cosas que me gustaban,0,1
Sudo mucho y me tiemblan las manos,1,0
Hoy fue un buen día,0,0
No puedo dejar de preocuparme por todo,1,0
Siento que nada tiene sentido,0,1
Dormí bien y tengo energía,0,0
Estoy motivado y feliz con mis estudios,0,0
Estoy motivado y feliz con mis estudios,0,0
Tengo miedo constante sin motivo,1,0
He perdido el interés en las cosas que me gustaban,0,1
No puedo dejar de preocuparme por todo,1,0
Estoy motivado y feliz con mis estudios,0,0
Me siento tranquilo y en paz,0,0
Me invade la tristeza y los nervios,1,1
