"mensaje","nivel_estres"
"Me siento agobiado con tantas tareas últimamente","alto"
"Hay mucho que hacer y me preocupa bastante","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"No puedo dormir por los trabajos demasiado","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Me siento seguro de mis conocimientos hoy","bajo"
"No puedo dormir por los trabajos mucho","alto"
"Me siento un poco estresado hoy demasiado","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"No puedo dormir por los trabajos un poco","alto"
"Hoy estoy un poco nervioso mucho","medio"
"Estoy motivado para la clase de hoy demasiado","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Estoy relajado hoy bastante","bajo"
"No sé cómo cumplir con todas las entregas últimamente","alto"
"Me siento cansado de tanto estudiar hoy","medio"
"No tengo preocupaciones importantes bastante","bajo"
"Estoy estresado por la carga académica un poco","alto"
"Hoy estoy un poco nervioso un poco","medio"
"Estoy calmado y concentrado bastante","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Hoy me siento tranquilo y contento bastante","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Estoy calmado y concentrado demasiado","bajo"
"Estoy muy ansioso por los exámenes hoy","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"Siento que todo se me viene encima demasiado","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"Estoy calmado y concentrado hoy","bajo"
"No me alcanza el tiempo para estudiar últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo demasiado","medio"
"Me siento seguro de mis conocimientos un poco","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Disfruté mucho mi fin de semana demasiado","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"Me siento un poco estresado hoy bastante","medio"
"Me siento feliz con mis resultados mucho","bajo"
"Me siento presionado por mis profesores demasiado","alto"
"Me siento un poco estresado hoy hoy","medio"
"Estoy relajado hoy un poco","bajo"
"Estoy muy ansioso por los exámenes hoy","alto"
"Me siento cansado pero sigo adelante hoy","medio"
"Disfruté mucho mi fin de semana últimamente","bajo"
"Estoy muy ansioso por los exámenes demasiado","alto"
"Hoy estoy un poco nervioso un poco","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"No me alcanza el tiempo para estudiar demasiado","alto"
"Estoy un poco agobiado pero me esfuerzo demasiado","medio"
"Todo va bien hoy bastante","bajo"
"Estoy preocupado por el futuro bastante","alto"
"Me siento cansado de tanto estudiar un poco","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Me siento un poco estresado hoy mucho","medio"
"Disfruté mucho mi fin de semana un poco","bajo"
"No me alcanza el tiempo para estudiar bastante","alto"
"Tengo varias tareas pero creo que puedo manejarlas últimamente","medio"
"Me siento seguro de mis conocimientos un poco","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Todo va bien hoy mucho","bajo"
"No me alcanza el tiempo para estudiar un poco","alto"
"Me siento cansado pero sigo adelante hoy","medio"
"Estoy motivado para la clase de hoy hoy","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"Hoy estoy un poco nervioso hoy","medio"
"Estoy motivado para la clase de hoy hoy","bajo"
"Me siento agobiado con tantas tareas demasiado","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"Me siento agobiado con tantas tareas mucho","alto"
"Me siento cansado pero sigo adelante hoy","medio"
"Estoy calmado y concentrado últimamente","bajo"
"Me siento presionado por mis profesores demasiado","alto"
"No sé cómo organizarme con tanto estudio mucho","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"No sé cómo organizarme con tanto estudio demasiado","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"Siento que todo se me viene encima demasiado","alto"
"Me siento un poco estresado hoy un poco","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Me siento agobiado con tantas tareas mucho","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Hoy me siento tranquilo y contento mucho","bajo"
"Tengo miedo de reprobar los cursos bastante","alto"
"Hay mucho que hacer y me preocupa hoy","medio"
"Todo va bien hoy últimamente","bajo"
"Siento que todo se me viene encima mucho","alto"
"Me siento cansado pero sigo adelante bastante","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"Siento que todo se me viene encima últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Me siento feliz con mis resultados últimamente","bajo"
"No puedo dormir por los trabajos hoy","alto"
"Siento presión por entregar todo a tiempo hoy","medio"
"Me siento seguro de mis conocimientos demasiado","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Me siento seguro de mis conocimientos un poco","bajo"
"Estoy estresado por la carga académica últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo un poco","medio"
"Estoy relajado hoy un poco","bajo"
"Siento que todo se me viene encima bastante","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Me siento seguro de mis conocimientos demasiado","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Tengo varias tareas pero creo que puedo manejarlas mucho","medio"
"Disfruto estudiar cuando puedo organizarme hoy","bajo"
"Estoy preocupado por el futuro mucho","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Me siento agobiado con tantas tareas demasiado","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Todo va bien hoy hoy","bajo"
"No puedo dormir por los trabajos últimamente","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"Me siento un poco estresado hoy bastante","medio"
"Estoy relajado hoy hoy","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"Me siento un poco estresado hoy mucho","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Estoy estresado por la carga académica un poco","alto"
"Hoy estoy un poco nervioso últimamente","medio"
"Estoy relajado hoy demasiado","bajo"
"Me siento presionado por mis profesores mucho","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Estoy relajado hoy hoy","bajo"
"Me siento agobiado con tantas tareas mucho","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"Estoy relajado hoy últimamente","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Tengo varias tareas pero creo que puedo manejarlas demasiado","medio"
"Hoy me siento tranquilo y contento bastante","bajo"
"Me siento agobiado con tantas tareas bastante","alto"
"Me siento un poco estresado hoy bastante","medio"
"Estoy relajado hoy hoy","bajo"
"Tengo miedo de reprobar los cursos últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo bastante","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Estoy estresado por la carga académica últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo demasiado","medio"
"Disfruté mucho mi fin de semana demasiado","bajo"
"Estoy preocupado por el futuro un poco","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Todo va bien hoy mucho","bajo"
"Tengo miedo de reprobar los cursos demasiado","alto"
"Me siento un poco estresado hoy bastante","medio"
"Todo va bien hoy bastante","bajo"
"Tengo miedo de reprobar los cursos bastante","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"No sé cómo cumplir con todas las entregas mucho","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Disfruto estudiar cuando puedo organizarme hoy","bajo"
"No puedo dormir por los trabajos hoy","alto"
"Tengo varias tareas pero creo que puedo manejarlas un poco","medio"
"Disfruto estudiar cuando puedo organizarme un poco","bajo"
"No puedo dormir por los trabajos últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Disfruto estudiar cuando puedo organizarme demasiado","bajo"
"No sé cómo cumplir con todas las entregas últimamente","alto"
"Siento presión por entregar todo a tiempo demasiado","medio"
"Hoy me siento tranquilo y contento un poco","bajo"
"Me siento presionado por mis profesores bastante","alto"
"Siento presión por entregar todo a tiempo últimamente","medio"
"Todo va bien hoy un poco","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Siento presión por entregar todo a tiempo hoy","medio"
"Estoy relajado hoy demasiado","bajo"
"Tengo miedo de reprobar los cursos demasiado","alto"
"Me siento cansado pero sigo adelante mucho","medio"
"Disfruto estudiar cuando puedo organizarme demasiado","bajo"
"Me siento presionado por mis profesores últimamente","alto"
"Hoy estoy un poco nervioso últimamente","medio"
"Estoy calmado y concentrado últimamente","bajo"
"Estoy preocupado por el futuro demasiado","alto"
"Tengo varias tareas pero creo que puedo manejarlas un poco","medio"
"Estoy calmado y concentrado demasiado","bajo"
"Me siento presionado por mis profesores mucho","alto"
"Siento presión por entregar todo a tiempo mucho","medio"
"Todo va bien hoy últimamente","bajo"
"Estoy estresado por la carga académica mucho","alto"
"Hoy estoy un poco nervioso hoy","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Me siento agobiado con tantas tareas bastante","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"No sé cómo organizarme con tanto estudio mucho","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Me siento presionado por mis profesores un poco","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"No tengo preocupaciones importantes últimamente","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"No puedo dormir por los trabajos hoy","alto"
"Estoy un poco agobiado pero me esfuerzo mucho","medio"
"No tengo preocupaciones importantes bastante","bajo"
"No sé cómo cumplir con todas las entregas mucho","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"No tengo preocupaciones importantes mucho","bajo"
"Siento que todo se me viene encima un poco","alto"
"Siento presión por entregar todo a tiempo un poco","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"No me alcanza el tiempo para estudiar un poco","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Me siento seguro de mis conocimientos mucho","bajo"
"Estoy preocupado por el futuro mucho","alto"
"Tengo varias tareas pero creo que puedo manejarlas un poco","medio"
"Disfruto estudiar cuando puedo organizarme demasiado","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"No estoy tranquilo del todo, pero lo manejo un poco","medio"
"Disfruto estudiar cuando puedo organizarme hoy","bajo"
"Estoy muy ansioso por los exámenes bastante","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Hoy me siento tranquilo y contento hoy","bajo"
"No puedo dormir por los trabajos bastante","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Hoy me siento tranquilo y contento mucho","bajo"
"No puedo dormir por los trabajos últimamente","alto"
"Siento presión por entregar todo a tiempo demasiado","medio"
"Disfruto estudiar cuando puedo organizarme demasiado","bajo"
"Me siento presionado por mis profesores últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo últimamente","medio"
"Todo va bien hoy últimamente","bajo"
"No puedo dormir por los trabajos últimamente","alto"
"Siento presión por entregar todo a tiempo demasiado","medio"
"Estoy relajado hoy hoy","bajo"
"Tengo miedo de reprobar los cursos bastante","alto"
"Hoy estoy un poco nervioso un poco","medio"
"Estoy relajado hoy bastante","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Estoy calmado y concentrado un poco","bajo"
"Estoy preocupado por el futuro demasiado","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Disfruté mucho mi fin de semana demasiado","bajo"
"Me siento agobiado con tantas tareas hoy","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"Me siento agobiado con tantas tareas bastante","alto"
"Siento presión por entregar todo a tiempo últimamente","medio"
"Estoy calmado y concentrado un poco","bajo"
"No sé cómo cumplir con todas las entregas hoy","alto"
"Me siento cansado pero sigo adelante bastante","medio"
"Todo va bien hoy un poco","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"Me siento cansado de tanto estudiar bastante","medio"
"Estoy relajado hoy un poco","bajo"
"Me siento agobiado con tantas tareas hoy","alto"
"No sé cómo organizarme con tanto estudio un poco","medio"
"Me siento feliz con mis resultados un poco","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Hay mucho que hacer y me preocupa bastante","medio"
"Hoy me siento tranquilo y contento últimamente","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"Me siento un poco estresado hoy demasiado","medio"
"Todo va bien hoy un poco","bajo"
"No sé cómo cumplir con todas las entregas demasiado","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Estoy calmado y concentrado mucho","bajo"
"No me alcanza el tiempo para estudiar últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo demasiado","medio"
"Estoy relajado hoy demasiado","bajo"
"Me siento agobiado con tantas tareas demasiado","alto"
"Tengo varias tareas pero creo que puedo manejarlas últimamente","medio"
"Disfruté mucho mi fin de semana un poco","bajo"
"Estoy estresado por la carga académica mucho","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"Estoy relajado hoy últimamente","bajo"
"Me siento presionado por mis profesores demasiado","alto"
"Me siento cansado pero sigo adelante bastante","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Estoy muy ansioso por los exámenes hoy","alto"
"Me siento cansado de tanto estudiar mucho","medio"
"Estoy relajado hoy mucho","bajo"
"Siento que todo se me viene encima últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Hoy me siento tranquilo y contento últimamente","bajo"
"Estoy muy ansioso por los exámenes bastante","alto"
"Me siento cansado pero sigo adelante mucho","medio"
"No tengo preocupaciones importantes mucho","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Disfruté mucho mi fin de semana demasiado","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"Hay mucho que hacer y me preocupa bastante","medio"
"Estoy calmado y concentrado bastante","bajo"
"Siento que todo se me viene encima hoy","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Todo va bien hoy demasiado","bajo"
"No sé cómo cumplir con todas las entregas hoy","alto"
"Siento presión por entregar todo a tiempo últimamente","medio"
"Estoy relajado hoy últimamente","bajo"
"No me alcanza el tiempo para estudiar últimamente","alto"
"Hoy estoy un poco nervioso mucho","medio"
"Me siento seguro de mis conocimientos hoy","bajo"
"Me siento presionado por mis profesores últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo últimamente","medio"
"Todo va bien hoy últimamente","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"Tengo varias tareas pero creo que puedo manejarlas hoy","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"No puedo dormir por los trabajos bastante","alto"
"Siento presión por entregar todo a tiempo mucho","medio"
"Me siento seguro de mis conocimientos demasiado","bajo"
"Estoy muy ansioso por los exámenes mucho","alto"
"Hay mucho que hacer y me preocupa mucho","medio"
"Me siento feliz con mis resultados un poco","bajo"
"No me alcanza el tiempo para estudiar bastante","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Hoy me siento tranquilo y contento bastante","bajo"
"Me siento presionado por mis profesores bastante","alto"
"Hoy estoy un poco nervioso demasiado","medio"
"Me siento feliz con mis resultados bastante","bajo"
"Tengo miedo de reprobar los cursos últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo un poco","medio"
"Estoy motivado para la clase de hoy mucho","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"No estoy tranquilo del todo, pero lo manejo últimamente","medio"
"No tengo preocupaciones importantes últimamente","bajo"
"No puedo dormir por los trabajos hoy","alto"
"Me siento cansado de tanto estudiar hoy","medio"
"No tengo preocupaciones importantes bastante","bajo"
"Siento que todo se me viene encima un poco","alto"
"Me siento cansado pero sigo adelante mucho","medio"
"Estoy motivado para la clase de hoy hoy","bajo"
"Me siento agobiado con tantas tareas demasiado","alto"
"Me siento cansado de tanto estudiar demasiado","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"No me alcanza el tiempo para estudiar un poco","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Estoy relajado hoy últimamente","bajo"
"No me alcanza el tiempo para estudiar bastante","alto"
"Siento presión por entregar todo a tiempo un poco","medio"
"Hoy me siento tranquilo y contento bastante","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Me siento un poco estresado hoy demasiado","medio"
"Disfruté mucho mi fin de semana hoy","bajo"
"Siento que todo se me viene encima bastante","alto"
"No estoy tranquilo del todo, pero lo manejo demasiado","medio"
"Me siento feliz con mis resultados un poco","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"Siento presión por entregar todo a tiempo últimamente","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"Estoy estresado por la carga académica últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo demasiado","medio"
"Disfruté mucho mi fin de semana hoy","bajo"
"Estoy muy ansioso por los exámenes demasiado","alto"
"Tengo varias tareas pero creo que puedo manejarlas demasiado","medio"
"Todo va bien hoy un poco","bajo"
"Me siento presionado por mis profesores últimamente","alto"
"Me siento un poco estresado hoy un poco","medio"
"Estoy calmado y concentrado un poco","bajo"
"Me siento presionado por mis profesores mucho","alto"
"Siento presión por entregar todo a tiempo demasiado","medio"
"No tengo preocupaciones importantes un poco","bajo"
"Tengo miedo de reprobar los cursos demasiado","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"Disfruto estudiar cuando puedo organizarme mucho","bajo"
"Me siento presionado por mis profesores un poco","alto"
"Tengo varias tareas pero creo que puedo manejarlas mucho","medio"
"Estoy motivado para la clase de hoy últimamente","bajo"
"Estoy muy ansioso por los exámenes últimamente","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Disfruté mucho mi fin de semana hoy","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"Me siento cansado pero sigo adelante un poco","medio"
"Disfruto estudiar cuando puedo organizarme un poco","bajo"
"Me siento presionado por mis profesores últimamente","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Disfruto estudiar cuando puedo organizarme mucho","bajo"
"Estoy estresado por la carga académica últimamente","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Siento que todo se me viene encima demasiado","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"Estoy un poco agobiado pero me esfuerzo hoy","medio"
"Estoy relajado hoy un poco","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"Estoy motivado para la clase de hoy últimamente","bajo"
"Estoy preocupado por el futuro hoy","alto"
"Tengo varias tareas pero creo que puedo manejarlas mucho","medio"
"Estoy calmado y concentrado demasiado","bajo"
"Estoy preocupado por el futuro últimamente","alto"
"Me siento cansado de tanto estudiar bastante","medio"
"Hoy me siento tranquilo y contento hoy","bajo"
"No puedo dormir por los trabajos mucho","alto"
"No sé cómo organizarme con tanto estudio hoy","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"Siento que todo se me viene encima hoy","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Todo va bien hoy demasiado","bajo"
"Me siento agobiado con tantas tareas bastante","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Me siento seguro de mis conocimientos últimamente","bajo"
"Siento que todo se me viene encima últimamente","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Disfruto estudiar cuando puedo organizarme un poco","bajo"
"Siento que todo se me viene encima mucho","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Estoy motivado para la clase de hoy últimamente","bajo"
"Siento que todo se me viene encima demasiado","alto"
"Me siento un poco estresado hoy mucho","medio"
"Estoy calmado y concentrado mucho","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"Tengo varias tareas pero creo que puedo manejarlas mucho","medio"
"Estoy motivado para la clase de hoy últimamente","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"Siento presión por entregar todo a tiempo últimamente","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"No puedo dormir por los trabajos demasiado","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"Me siento feliz con mis resultados bastante","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Disfruté mucho mi fin de semana últimamente","bajo"
"Estoy estresado por la carga académica mucho","alto"
"Estoy un poco agobiado pero me esfuerzo hoy","medio"
"Estoy calmado y concentrado últimamente","bajo"
"No puedo dormir por los trabajos demasiado","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Todo va bien hoy demasiado","bajo"
"No puedo dormir por los trabajos hoy","alto"
"Hay mucho que hacer y me preocupa un poco","medio"
"Hoy me siento tranquilo y contento mucho","bajo"
"No sé cómo cumplir con todas las entregas hoy","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Estoy muy ansioso por los exámenes últimamente","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"No sé cómo cumplir con todas las entregas últimamente","alto"
"Me siento cansado pero sigo adelante demasiado","medio"
"No tengo preocupaciones importantes últimamente","bajo"
"Siento que todo se me viene encima un poco","alto"
"Estoy un poco agobiado pero me esfuerzo un poco","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"Estoy preocupado por el futuro demasiado","alto"
"Estoy un poco agobiado pero me esfuerzo hoy","medio"
"Me siento feliz con mis resultados mucho","bajo"
"No sé cómo cumplir con todas las entregas hoy","alto"
"Estoy un poco agobiado pero me esfuerzo mucho","medio"
"Me siento seguro de mis conocimientos hoy","bajo"
"Me siento presionado por mis profesores mucho","alto"
"Me siento cansado de tanto estudiar un poco","medio"
"Estoy calmado y concentrado mucho","bajo"
"Estoy muy ansioso por los exámenes hoy","alto"
"Me siento un poco estresado hoy bastante","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"Me siento cansado de tanto estudiar mucho","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Me siento presionado por mis profesores bastante","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Estoy calmado y concentrado bastante","bajo"
"Estoy estresado por la carga académica mucho","alto"
"Tengo varias tareas pero creo que puedo manejarlas últimamente","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"Estoy muy ansioso por los exámenes bastante","alto"
"Siento presión por entregar todo a tiempo un poco","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"No puedo dormir por los trabajos mucho","alto"
"Tengo varias tareas pero creo que puedo manejarlas un poco","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"No sé cómo cumplir con todas las entregas demasiado","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Estoy relajado hoy demasiado","bajo"
"Estoy muy ansioso por los exámenes bastante","alto"
"Tengo varias tareas pero creo que puedo manejarlas hoy","medio"
"Estoy motivado para la clase de hoy hoy","bajo"
"Siento que todo se me viene encima un poco","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Me siento cansado pero sigo adelante bastante","medio"
"Todo va bien hoy hoy","bajo"
"No puedo dormir por los trabajos bastante","alto"
"Hoy estoy un poco nervioso un poco","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"Me siento agobiado con tantas tareas un poco","alto"
