"mensaje","nivel_estres"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"No me alcanza el tiempo para estudiar demasiado","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"Me siento seguro de mis conocimientos últimamente","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"No tengo preocupaciones importantes un poco","bajo"
"Me siento agobiado con tantas tareas demasiado","alto"
"Hay mucho que hacer y me preocupa bastante","medio"
"Estoy relajado hoy un poco","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"Hay mucho que hacer y me preocupa hoy","medio"
"Me siento seguro de mis conocimientos últimamente","bajo"
"Estoy estresado por la carga académica bastante","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"Disfruto estudiar cuando puedo organizarme demasiado","bajo"
"No puedo dormir por los trabajos últimamente","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Estoy preocupado por el futuro hoy","alto"
"No estoy tranquilo del todo, pero lo manejo un poco","medio"
"Hoy me siento tranquilo y contento bastante","bajo"
"Estoy estresado por la carga académica bastante","alto"
"Hay mucho que hacer y me preocupa un poco","medio"
"Hoy me siento tranquilo y contento bastante","bajo"
"Estoy estresado por la carga académica demasiado","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Me siento feliz con mis resultados bastante","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Me siento un poco estresado hoy últimamente","medio"
"No tengo preocupaciones importantes mucho","bajo"
"Estoy muy ansioso por los exámenes últimamente","alto"
"Me siento cansado pero sigo adelante un poco","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Estoy preocupado por el futuro un poco","alto"
"No sé cómo organizarme con tanto estudio hoy","medio"
"Me siento seguro de mis conocimientos hoy","bajo"
"Estoy estresado por la carga académica un poco","alto"
"Estoy un poco agobiado pero me esfuerzo demasiado","medio"
"Todo va bien hoy hoy","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"No tengo preocupaciones importantes bastante","bajo"
"No puedo dormir por los trabajos un poco","alto"
"Me siento un poco estresado hoy hoy","medio"
"No tengo preocupaciones importantes últimamente","bajo"
"Estoy estresado por la carga académica demasiado","alto"
"Siento presión por entregar todo a tiempo demasiado","medio"
"Me siento seguro de mis conocimientos mucho","bajo"
"No puedo dormir por los trabajos mucho","alto"
"Me siento un poco estresado hoy demasiado","medio"
"Me siento feliz con mis resultados últimamente","bajo"
"No puedo dormir por los trabajos bastante","alto"
"Siento presión por entregar todo a tiempo últimamente","medio"
"Estoy motivado para la clase de hoy bastante","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"Hoy estoy un poco nervioso bastante","medio"
"No tengo preocupaciones importantes un poco","bajo"
"No sé cómo cumplir con todas las entregas mucho","alto"
"Siento presión por entregar todo a tiempo un poco","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Estoy muy ansioso por los exámenes mucho","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Me siento agobiado con tantas tareas bastante","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Estoy relajado hoy hoy","bajo"
"Estoy estresado por la carga académica demasiado","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"No tengo preocupaciones importantes últimamente","bajo"
"No puedo dormir por los trabajos bastante","alto"
"No sé cómo organizarme con tanto estudio un poco","medio"
"Estoy calmado y concentrado un poco","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"Hay mucho que hacer y me preocupa un poco","medio"
"Todo va bien hoy un poco","bajo"
"No sé cómo cumplir con todas las entregas demasiado","alto"
"Siento presión por entregar todo a tiempo últimamente","medio"
"Estoy motivado para la clase de hoy hoy","bajo"
"No sé cómo cumplir con todas las entregas hoy","alto"
"Siento presión por entregar todo a tiempo demasiado","medio"
"Estoy motivado para la clase de hoy últimamente","bajo"
"Siento que todo se me viene encima últimamente","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Me siento seguro de mis conocimientos mucho","bajo"
"Estoy preocupado por el futuro últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Me siento seguro de mis conocimientos demasiado","bajo"
"No sé cómo cumplir con todas las entregas demasiado","alto"
"Hay mucho que hacer y me preocupa un poco","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Me siento agobiado con tantas tareas bastante","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Todo va bien hoy demasiado","bajo"
"Estoy muy ansioso por los exámenes demasiado","alto"
"Me siento cansado de tanto estudiar demasiado","medio"
"No tengo preocupaciones importantes mucho","bajo"
"Estoy preocupado por el futuro hoy","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Me siento seguro de mis conocimientos bastante","bajo"
"No me alcanza el tiempo para estudiar bastante","alto"
"No sé cómo organizarme con tanto estudio demasiado","medio"
"Estoy calmado y concentrado mucho","bajo"
"No sé cómo cumplir con todas las entregas últimamente","alto"
"Me siento cansado de tanto estudiar demasiado","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"No puedo dormir por los trabajos un poco","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"No tengo preocupaciones importantes hoy","bajo"
"Siento que todo se me viene encima bastante","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"Todo va bien hoy un poco","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"No sé cómo organizarme con tanto estudio demasiado","medio"
"Hoy me siento tranquilo y contento hoy","bajo"
"Siento que todo se me viene encima últimamente","alto"
"Tengo varias tareas pero creo que puedo manejarlas demasiado","medio"
"Estoy calmado y concentrado demasiado","bajo"
"Me siento presionado por mis profesores mucho","alto"
"Hoy estoy un poco nervioso mucho","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"Me siento feliz con mis resultados últimamente","bajo"
"Siento que todo se me viene encima demasiado","alto"
"Me siento un poco estresado hoy demasiado","medio"
"Estoy motivado para la clase de hoy demasiado","bajo"
"Me siento agobiado con tantas tareas un poco","alto"
"Me siento cansado pero sigo adelante un poco","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"Me siento un poco estresado hoy hoy","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"No puedo dormir por los trabajos demasiado","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Disfruté mucho mi fin de semana últimamente","bajo"
"Me siento presionado por mis profesores bastante","alto"
"No sé cómo organizarme con tanto estudio hoy","medio"
"Estoy calmado y concentrado últimamente","bajo"
"Me siento agobiado con tantas tareas demasiado","alto"
"Estoy un poco agobiado pero me esfuerzo mucho","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"No me alcanza el tiempo para estudiar un poco","alto"
"Siento presión por entregar todo a tiempo hoy","medio"
"Estoy relajado hoy bastante","bajo"
"Me siento agobiado con tantas tareas hoy","alto"
"No sé cómo organizarme con tanto estudio mucho","medio"
"Disfruto estudiar cuando puedo organizarme mucho","bajo"
"Estoy preocupado por el futuro últimamente","alto"
"No sé cómo organizarme con tanto estudio un poco","medio"
"Me siento seguro de mis conocimientos un poco","bajo"
"Siento que todo se me viene encima bastante","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Estoy calmado y concentrado mucho","bajo"
"No puedo dormir por los trabajos un poco","alto"
"Hoy estoy un poco nervioso mucho","medio"
"Me siento seguro de mis conocimientos bastante","bajo"
"No sé cómo cumplir con todas las entregas demasiado","alto"
"No sé cómo organizarme con tanto estudio mucho","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"No sé cómo cumplir con todas las entregas un poco","alto"
"No estoy tranquilo del todo, pero lo manejo un poco","medio"
"Me siento feliz con mis resultados un poco","bajo"
"Siento que todo se me viene encima mucho","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Estoy calmado y concentrado un poco","bajo"
"Me siento presionado por mis profesores mucho","alto"
"Me siento un poco estresado hoy hoy","medio"
"Disfruto estudiar cuando puedo organizarme hoy","bajo"
"Estoy preocupado por el futuro últimamente","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"No tengo preocupaciones importantes hoy","bajo"
"Me siento agobiado con tantas tareas un poco","alto"
"Siento presión por entregar todo a tiempo mucho","medio"
"Estoy calmado y concentrado últimamente","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Disfruto estudiar cuando puedo organizarme un poco","bajo"
"No puedo dormir por los trabajos demasiado","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"Disfruto estudiar cuando puedo organizarme un poco","bajo"
"No me alcanza el tiempo para estudiar últimamente","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"Me siento seguro de mis conocimientos un poco","bajo"
"Estoy preocupado por el futuro últimamente","alto"
"Me siento cansado de tanto estudiar demasiado","medio"
"Hoy me siento tranquilo y contento un poco","bajo"
"No sé cómo cumplir con todas las entregas bastante","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Me siento un poco estresado hoy hoy","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"No puedo dormir por los trabajos últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"No tengo preocupaciones importantes mucho","bajo"
"Me siento agobiado con tantas tareas mucho","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Disfruté mucho mi fin de semana hoy","bajo"
"Me siento presionado por mis profesores mucho","alto"
"Hoy estoy un poco nervioso hoy","medio"
"Todo va bien hoy hoy","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Todo va bien hoy hoy","bajo"
"No me alcanza el tiempo para estudiar demasiado","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Me siento feliz con mis resultados últimamente","bajo"
"Estoy estresado por la carga académica mucho","alto"
"Hay mucho que hacer y me preocupa un poco","medio"
"Estoy relajado hoy bastante","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"No puedo dormir por los trabajos mucho","alto"
"Me siento cansado pero sigo adelante bastante","medio"
"Me siento feliz con mis resultados bastante","bajo"
"Siento que todo se me viene encima un poco","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Estoy calmado y concentrado un poco","bajo"
"Estoy estresado por la carga académica un poco","alto"
"Me siento cansado pero sigo adelante demasiado","medio"
"Estoy relajado hoy últimamente","bajo"
"Me siento presionado por mis profesores demasiado","alto"
"Me siento cansado pero sigo adelante un poco","medio"
"Me siento feliz con mis resultados bastante","bajo"
"No me alcanza el tiempo para estudiar últimamente","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"No tengo preocupaciones importantes bastante","bajo"
"Estoy preocupado por el futuro bastante","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Disfruté mucho mi fin de semana últimamente","bajo"
"Estoy estresado por la carga académica últimamente","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Todo va bien hoy bastante","bajo"
"Me siento presionado por mis profesores bastante","alto"
"Siento presión por entregar todo a tiempo un poco","medio"
"Me siento seguro de mis conocimientos hoy","bajo"
"Estoy muy ansioso por los exámenes últimamente","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Todo va bien hoy mucho","bajo"
"Estoy preocupado por el futuro últimamente","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Estoy relajado hoy últimamente","bajo"
"Estoy muy ansioso por los exámenes demasiado","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Estoy preocupado por el futuro hoy","alto"
"Me siento cansado de tanto estudiar un poco","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Siento que todo se me viene encima hoy","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Me siento feliz con mis resultados hoy","bajo"
"No puedo dormir por los trabajos demasiado","alto"
"Hay mucho que hacer y me preocupa bastante","medio"
"Estoy motivado para la clase de hoy últimamente","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"Me siento cansado pero sigo adelante mucho","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"Estoy estresado por la carga académica hoy","alto"
"Siento presión por entregar todo a tiempo mucho","medio"
"Disfruté mucho mi fin de semana un poco","bajo"
"No sé cómo cumplir con todas las entregas demasiado","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Todo va bien hoy hoy","bajo"
"Me siento presionado por mis profesores últimamente","alto"
"Me siento un poco estresado hoy hoy","medio"
"No tengo preocupaciones importantes últimamente","bajo"
"Estoy estresado por la carga académica mucho","alto"
"Me siento cansado pero sigo adelante hoy","medio"
"Estoy relajado hoy demasiado","bajo"
"Estoy preocupado por el futuro un poco","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"Me siento presionado por mis profesores un poco","alto"
"Hoy estoy un poco nervioso demasiado","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"No puedo dormir por los trabajos demasiado","alto"
"Me siento un poco estresado hoy bastante","medio"
"No tengo preocupaciones importantes últimamente","bajo"
"Estoy preocupado por el futuro bastante","alto"
"Siento presión por entregar todo a tiempo mucho","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"Estoy preocupado por el futuro mucho","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"No tengo preocupaciones importantes hoy","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"Me siento cansado pero sigo adelante un poco","medio"
"Estoy motivado para la clase de hoy hoy","bajo"
"Estoy preocupado por el futuro un poco","alto"
"Estoy un poco agobiado pero me esfuerzo un poco","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Siento que todo se me viene encima hoy","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Me siento seguro de mis conocimientos últimamente","bajo"
"Estoy preocupado por el futuro un poco","alto"
"Siento presión por entregar todo a tiempo hoy","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"Me siento un poco estresado hoy bastante","medio"
"Estoy calmado y concentrado bastante","bajo"
"Me siento agobiado con tantas tareas un poco","alto"
"No estoy tranquilo del todo, pero lo manejo un poco","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Estoy preocupado por el futuro un poco","alto"
"Hay mucho que hacer y me preocupa un poco","medio"
"Todo va bien hoy un poco","bajo"
"Estoy estresado por la carga académica últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo mucho","medio"
"Disfruté mucho mi fin de semana últimamente","bajo"
"No puedo dormir por los trabajos bastante","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Me siento seguro de mis conocimientos últimamente","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Estoy relajado hoy hoy","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"Hoy me siento tranquilo y contento mucho","bajo"
"Siento que todo se me viene encima bastante","alto"
"Me siento cansado pero sigo adelante un poco","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"No me alcanza el tiempo para estudiar bastante","alto"
"Me siento un poco estresado hoy demasiado","medio"
"Me siento seguro de mis conocimientos últimamente","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"Estoy un poco agobiado pero me esfuerzo últimamente","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"No sé cómo cumplir con todas las entregas demasiado","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Me siento seguro de mis conocimientos un poco","bajo"
"Estoy preocupado por el futuro bastante","alto"
"Hoy estoy un poco nervioso mucho","medio"
"Me siento feliz con mis resultados un poco","bajo"
"Estoy muy ansioso por los exámenes bastante","alto"
"Me siento cansado de tanto estudiar demasiado","medio"
"Disfruto estudiar cuando puedo organizarme últimamente","bajo"
"Me siento agobiado con tantas tareas un poco","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"Estoy relajado hoy bastante","bajo"
"Estoy preocupado por el futuro un poco","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Todo va bien hoy hoy","bajo"
"No sé cómo cumplir con todas las entregas últimamente","alto"
"Me siento cansado de tanto estudiar demasiado","medio"
"Estoy calmado y concentrado hoy","bajo"
"No puedo dormir por los trabajos un poco","alto"
"Tengo varias tareas pero creo que puedo manejarlas demasiado","medio"
"Estoy relajado hoy demasiado","bajo"
"Estoy muy ansioso por los exámenes mucho","alto"
"Siento presión por entregar todo a tiempo demasiado","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Me siento presionado por mis profesores bastante","alto"
"Me siento un poco estresado hoy un poco","medio"
"Hoy me siento tranquilo y contento hoy","bajo"
"Siento que todo se me viene encima demasiado","alto"
"Estoy un poco agobiado pero me esfuerzo un poco","medio"
"Estoy relajado hoy últimamente","bajo"
"No me alcanza el tiempo para estudiar un poco","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Me siento feliz con mis resultados un poco","bajo"
"Estoy muy ansioso por los exámenes hoy","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Todo va bien hoy mucho","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"No tengo preocupaciones importantes hoy","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Me siento cansado de tanto estudiar un poco","medio"
"Disfruto estudiar cuando puedo organizarme hoy","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Hoy estoy un poco nervioso un poco","medio"
"Todo va bien hoy bastante","bajo"
"Me siento agobiado con tantas tareas un poco","alto"
"Me siento cansado pero sigo adelante bastante","medio"
"Me siento seguro de mis conocimientos mucho","bajo"
"No puedo dormir por los trabajos bastante","alto"
"Hoy estoy un poco nervioso mucho","medio"
"Hoy me siento tranquilo y contento hoy","bajo"
"Estoy estresado por la carga académica últimamente","alto"
"Hoy estoy un poco nervioso un poco","medio"
"Estoy motivado para la clase de hoy últimamente","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"Me siento cansado de tanto estudiar últimamente","medio"
"Me siento seguro de mis conocimientos demasiado","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"Siento presión por entregar todo a tiempo hoy","medio"
"Estoy motivado para la clase de hoy mucho","bajo"
"No me alcanza el tiempo para estudiar bastante","alto"
"Me siento cansado pero sigo adelante bastante","medio"
"Estoy calmado y concentrado un poco","bajo"
"Estoy muy ansioso por los exámenes un poco","alto"
"Estoy un poco agobiado pero me esfuerzo mucho","medio"
"Me siento seguro de mis conocimientos bastante","bajo"
"Siento que todo se me viene encima un poco","alto"
"Me siento cansado pero sigo adelante demasiado","medio"
"Hoy me siento tranquilo y contento bastante","bajo"
"Estoy muy ansioso por los exámenes últimamente","alto"
"Hoy estoy un poco nervioso un poco","medio"
"No tengo preocupaciones importantes últimamente","bajo"
"Me siento agobiado con tantas tareas hoy","alto"
"Siento presión por entregar todo a tiempo un poco","medio"
"Me siento seguro de mis conocimientos bastante","bajo"
"Siento que todo se me viene encima mucho","alto"
"Me siento un poco estresado hoy demasiado","medio"
"Estoy motivado para la clase de hoy últimamente","bajo"
"Siento que todo se me viene encima hoy","alto"
"Me siento cansado de tanto estudiar bastante","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Disfruté mucho mi fin de semana demasiado","bajo"
"Estoy muy ansioso por los exámenes demasiado","alto"
"Hay mucho que hacer y me preocupa hoy","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"Tengo miedo de reprobar los cursos demasiado","alto"
"Me siento cansado pero sigo adelante un poco","medio"
"Estoy relajado hoy bastante","bajo"
"Me siento presionado por mis profesores un poco","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Todo va bien hoy bastante","bajo"
"Estoy estresado por la carga académica hoy","alto"
"Hay mucho que hacer y me preocupa bastante","medio"
"Disfruto estudiar cuando puedo organizarme un poco","bajo"
"No sé cómo cumplir con todas las entregas demasiado","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"Estoy calmado y concentrado demasiado","bajo"
"No puedo dormir por los trabajos mucho","alto"
"Me siento cansado pero sigo adelante hoy","medio"
"Estoy motivado para la clase de hoy demasiado","bajo"
"No sé cómo cumplir con todas las entregas bastante","alto"
"Hoy estoy un poco nervioso hoy","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Estoy preocupado por el futuro demasiado","alto"
"Siento presión por entregar todo a tiempo un poco","medio"
"Me siento feliz con mis resultados bastante","bajo"
"No me alcanza el tiempo para estudiar últimamente","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Me siento feliz con mis resultados demasiado","bajo"
"Me siento agobiado con tantas tareas mucho","alto"
"Estoy un poco agobiado pero me esfuerzo hoy","medio"
"Estoy calmado y concentrado bastante","bajo"
"Me siento agobiado con tantas tareas bastante","alto"
"No sé cómo organizarme con tanto estudio últimamente","medio"
"Estoy calmado y concentrado demasiado","bajo"
"No sé cómo cumplir con todas las entregas un poco","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Me siento seguro de mis conocimientos últimamente","bajo"
"No sé cómo cumplir con todas las entregas mucho","alto"
"Me siento un poco estresado hoy hoy","medio"
"Todo va bien hoy últimamente","bajo"
"Me siento presionado por mis profesores mucho","alto"
"Me siento un poco estresado hoy mucho","medio"
"Me siento seguro de mis conocimientos mucho","bajo"
"Siento que todo se me viene encima un poco","alto"
"Me siento un poco estresado hoy mucho","medio"
"Me siento seguro de mis conocimientos demasiado","bajo"
"Me siento presionado por mis profesores últimamente","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Todo va bien hoy bastante","bajo"
"Estoy preocupado por el futuro un poco","alto"
"Me siento un poco estresado hoy un poco","medio"
"Disfruto estudiar cuando puedo organizarme un poco","bajo"
"No me alcanza el tiempo para estudiar demasiado","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"Me siento presionado por mis profesores un poco","alto"
"Hay mucho que hacer y me preocupa mucho","medio"
"Estoy motivado para la clase de hoy demasiado","bajo"
"Tengo miedo de reprobar los cursos últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Estoy calmado y concentrado mucho","bajo"
"Siento que todo se me viene encima bastante","alto"
"No estoy tranquilo del todo, pero lo manejo bastante","medio"
"Estoy relajado hoy un poco","bajo"
"Me siento agobiado con tantas tareas bastante","alto"
"Siento presión por entregar todo a tiempo hoy","medio"
"Estoy motivado para la clase de hoy mucho","bajo"
"Me siento agobiado con tantas tareas últimamente","alto"
"Hay mucho que hacer y me preocupa demasiado","medio"
"Hoy me siento tranquilo y contento hoy","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"Tengo varias tareas pero creo que puedo manejarlas bastante","medio"
"Me siento seguro de mis conocimientos demasiado","bajo"
"Me siento presionado por mis profesores demasiado","alto"
"Hoy estoy un poco nervioso mucho","medio"
"Estoy calmado y concentrado hoy","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Estoy un poco agobiado pero me esfuerzo demasiado","medio"
"Me siento feliz con mis resultados hoy","bajo"
"Estoy muy ansioso por los exámenes hoy","alto"
"Me siento cansado pero sigo adelante últimamente","medio"
"Todo va bien hoy mucho","bajo"
"Estoy muy ansioso por los exámenes últimamente","alto"
"Hoy estoy un poco nervioso hoy","medio"
"Disfruto estudiar cuando puedo organizarme un poco","bajo"